Año,Mes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
2010,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.1,0.1,0,9.4,0,0,0,NaN,NaN,NaN
2010,3,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.3,3,0,0,0,0,0,0,0,0,0
2010,4,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,13.3,4.9,4.2,0,2,0,1.5,0,0.6,2.5,13.3,0,34.6,16.8,5.2,41.2,NaN
2010,5,1.5,NaN,12.3,4.3,0.7,0,0,0,0,0,0,0,0,0,0,26.7,0.6,5,27.7,2.1,0.4,8,33.6,32.8,1.5,16.5,4.4,0.8,0,0,0
2010,6,1.5,2.3,18.9,0,0,2.7,0,6,14.2,14.6,5.2,28.3,2.9,8.8,17.9,18.1,0,18.4,0.8,30.5,2,2.4,0,1.2,11.7,10,2.8,0.6,15.5,2.8,NaN
2010,7,0,8.8,0.4,2,0.6,34.1,3.6,6.1,13,36.4,19.7,0.2,22.2,0,0.2,3.3,1.8,0.9,1.4,52.2,5.3,36,1.2,1.9,10.4,2.8,6.1,2.2,5,6.2,1.3
2010,8,7.2,0.3,0,0,23.9,7.4,17.2,14.9,2.1,3,2.2,4,0.1,0.6,9,0,3.4,0.1,5.6,18.5,0.8,3.3,10,32.2,15.1,25.7,23.3,27.3,13.8,0,10.7
2010,9,19.4,3.1,11.8,5,3,3.1,33.1,49.5,0.1,0.4,20.2,21.2,34,9.9,0,15.4,5.1,52.6,1.2,41,20.2,19.5,11.1,4.2,5.4,9.7,3.4,90.2,71.9,12.6,NaN
2010,10,2.4,39.5,45.8,0.9,0.3,1.3,0,0,0,0,5.7,5.9,0,0,1.1,0.6,2,0.1,0,8.2,26.5,6,7.7,24.2,6.8,0.7,0,0,0.1,NaN,3.8
2010,11,11.8,24.6,142.3,14.8,50,0,0,0,0,4.6,0.1,0,0,0,0,0,0.6,0,2.7,0.6,3.5,1.5,0.3,0.6,3.5,2.2,0,0,0,3.8,NaN
2010,12,50.2,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,2.6,0,0,0,4.3,0.1
2011,1,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,0,0,0,0,0,0,0,0,0,14.4,0,0.2,0,0,0.4,0,0,0,0,0,0,0,0,0,0,2.6,0,3.8,NaN,NaN,NaN
2011,3,8,0,0,0,0.1,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
2011,4,0,0,0,0,0,0,0,0,0,0,11.3,0.1,0,0,0,0,0,0,22.8,0,0,0,3.5,0,2.4,0,6.8,14.6,0,0.4,NaN
2011,5,0.1,0,0,0,0.4,0,0,0,0,0,0,1.1,0.1,0,0,0,0,0,1,20.5,7,0,7.4,2,13.7,10.2,17.3,17.6,0.2,0.6,36.7
2011,6,4.3,11.4,2.5,63.1,42.9,9.7,0.1,0,0,0.8,0,0.2,0,1.5,57.6,11.7,2,8.1,0,0,10.3,6.8,1,2.2,3.6,0.1,0,0,29.6,5.8,NaN
2011,7,50.6,3.3,29.1,10.6,10.8,0,0,0,0,0.5,52.2,6,1.1,3.4,16.5,7.3,14.6,0,0,0,0,0,0,0,0,0,5,7.3,0.6,3.2,3.7
2011,8,3.4,7.2,0.2,0,13.5,0,0.9,0,0,0,0,0.1,17.1,25.5,29.1,34.3,0.8,3.1,12.9,1.9,43.3,5.8,0.1,1.9,1.5,0.4,6.9,1,0,0.1,0
2011,9,0.1,7.8,0.8,9.7,5.3,0.1,6.1,1.4,0,0,0,24,0.5,0,9.7,34.5,4.7,22.1,8.4,18.5,0,0,27.7,0.3,17.2,0.1,0,2.3,6.3,10.6,NaN
2011,10,23,8.1,2.4,3.5,15,1.8,9,3.3,23,47.6,44.2,46.3,17.5,116.1,20.5,23.3,15.9,17.9,7,15.5,20.8,18.4,0.6,0,0,0.3,35.2,1.3,0,15,1.4
2011,11,15.1,0,0,10.6,0,1,0,0,4.6,13.7,0,7.6,14.1,0,13,5.6,0.6,12.3,15.3,0,1,0,7.2,4.5,14.9,16.2,0.4,0.1,0,0,NaN
2011,12,0,0,0,0,0,1,0,0,0,0.2,8,12.9,21.2,0,0,0,4.6,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
2012,1,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012,7,NaN,NaN,NaN,NaN,0.2,0.1,5.3,0,0,15.7,0,33.1,0,0.2,0.2,0,0.2,11.8,0,1.1,0,0.7,0,12.3,0,0,12.6,32.3,8.7,0,3.8
2012,8,6.2,0.4,0,0,0,26.5,12.1,5.7,7.9,5.6,41,0,3,25.9,29.8,0.1,7.6,2.4,26.6,2,0.6,37.5,10.4,0.3,16.1,0.1,5.4,0.1,7,21.1,18.1
2012,9,8.3,2.7,0,15,11.8,21.6,0.1,12.2,4.2,0.4,1.8,0,8.8,20.6,6.2,31.4,0.4,13.6,24.6,0.6,19.1,4.6,3.9,0.4,6.6,1.8,47.7,0,5.3,2,NaN
2012,10,0.1,5,0.3,0.3,9.7,0,0.1,4.1,0.7,0.6,0,14.3,5.5,13.3,0.5,13.3,35.1,9.1,0.7,4,8.6,1.5,33.6,36.8,34.1,0.1,0,0,0,0,0
2012,11,2.1,14.3,0.5,0,0,26.7,6.1,0.4,0.4,0.2,0,6.9,0,0.6,0,1.6,0.6,3.4,0,0.3,0.9,1.1,0,0,1.5,0.2,0,0,3.6,0,NaN
2012,12,0,0,0,8.7,0.4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.1,0,0.8,0,NaN,NaN,NaN
2013,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0
2013,4,1.3,0,2.5,28,4.6,0,0,0,0,0,24.7,0,0,0,20,0.1,0,2.6,5,0,3.1,29.7,0,0,0,0,0,0,0,0,NaN
2013,5,7.3,0.4,0,0,0,0.2,0,0,18.8,8.2,3.4,0,0,0,0,0,0,15.2,9.2,0.2,23.1,9.9,7.4,14.2,0.5,2,2.5,0.2,33,23.7,3.9
2013,6,2.5,0,0,36.7,5.3,38.5,0.2,0,0,2,2.1,0,3.3,12.9,10.7,8.5,0.9,71.6,27.1,0,9.1,0,0,6.7,6.8,23.8,1.2,0,31.2,1.7,NaN
2013,7,0,2.6,0,2.9,0,11,0,0,0,0.3,0,11.7,0,2.3,0,0,19.7,0.2,0.2,0,15.6,1.3,0,0,8,0,3.5,5.9,0.3,0,7
2013,8,0,2.7,16.2,0.3,0,0,0,0,10,0,0.4,2,5.4,0.5,1.3,8.7,0,12.9,0,5.5,0,15,2.1,28.5,0,0,26.2,0,0,0,8.7
2013,9,15.5,9.2,10.1,0.1,55,6.4,7.1,0.1,17.1,0,NaN,NaN,NaN,NaN,NaN,23,2.4,28.2,0.1,1.6,0.2,24.3,0,3.8,0.1,12.5,0.7,19.8,9.1,37.6,NaN
2013,10,41.8,35.2,4.6,4.7,54.7,2.2,6.7,0,0.6,1.7,8.5,5.7,0,0.1,1.1,34,2.6,14.7,29.8,44.4,5.3,29,27.9,1.6,9.5,26.5,1.1,27.5,2.2,0,2.7
2013,11,10.9,0,0.4,0,0.5,1.1,5.3,22.9,11.2,0,0,0,3.8,12.6,21.4,0,0,0,0,0,0,0,0.9,0.2,9.3,0.8,2.3,20.5,0,0,NaN
2013,12,0,0,0,0,2.5,0,0,0,1.3,0,0,0.4,0,0,1.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0
2014,2,0,0,0,0,0,0,0,0,0,0,0,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN
2014,3,0,0,0,2.1,0,5.4,0,1.2,0.7,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,4,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,7.9,0,19,0.6,11.4,4.3,4.4,NaN
2014,5,16.8,1.9,0.2,0.1,0,4.7,41.5,40.6,4.3,48,7.1,6.6,0,0,0.1,0,0,0.4,0,0,0,3.2,0.8,5.5,0,0,1.3,0,0.7,14.3,29
2014,6,0.6,21.9,17.5,72,19,43.4,0,0.5,0.3,0,0,19.8,1.9,0,0,0.6,11,0,5,3,0,1.2,2.1,0.1,30.8,10.1,2.1,0.1,0,0,NaN
2014,7,0,17.7,0,0,1.4,0.4,0,0,0,0,2.8,1.8,1.4,0.4,0.1,0,1,0,0,0,3.3,2.4,0,0,0,0.9,0,0,0,1.6,0
2014,8,0.3,0,1.2,24.4,0,3.5,0,10.4,16.8,11.4,5.7,0,0,0,0,0,0.3,3,9.4,9.5,0,0,5.9,16.5,34.8,1.2,6.9,30.5,0,3.4,0
2014,9,0,13.5,6.4,0,20.2,7.7,6.1,15.2,0,11.9,19.9,8.7,33.8,0.8,2.4,8.9,52.7,28.7,49,11.9,9.7,8.4,11.4,1.9,42.8,4.6,18.5,11.5,21,0,NaN
2014,10,1.2,0.4,3.8,0,0.1,18.1,15.6,9,1.1,6.7,1.6,39.8,61,6.1,3.1,13.3,32.1,30,5.8,42.7,2.2,2.9,0.1,5.3,7.1,1.1,0.3,9.4,13.1,13.5,26.2
2014,11,42,0.3,0.8,2.9,0.3,0.5,0,4.8,0.6,11.5,11.3,21.4,0,2.9,0,1.4,0.3,0,0,0.6,0.1,0,0,0.7,2.7,0.1,2.4,0,0,0,NaN
2014,12,0,0,0,0.6,0.9,0.5,0,0,0,0,0,0.4,2.2,0.3,0,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0.5,0,0
2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,2,0,0,0,0,0,0,0,0,0.8,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN
2015,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
2015,4,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,7,0,0.1,0,0,0,0.6,0.1,0.2,2.5,NaN
2015,5,0.4,0,0,0.2,0,8.7,10.3,0,0,0,0,0,0,0,0,25.4,6.4,0,3.9,3,0,9.7,0,14.1,0.7,9.9,0,0,0,14,0
2015,6,15.3,0,33.1,63.3,25.6,0.4,6.1,4.1,8.7,9.3,2.5,14.3,0,0,0,0,0,0,0,0,8.5,1.8,0,0,0,4.3,2.4,0,0.4,0,NaN
2015,7,0,0,0,0,0.7,16.9,19.3,4.4,4.7,21.1,1.7,7.6,35.4,1.5,0,10.9,2.5,42,10.9,0,0,1,0.7,0.1,0,0,0,0.3,10.4,0,0
2015,8,12.5,0,0,0,0,0,0,8.8,0,13.6,22.8,0,0,5.7,0.5,0.2,0,0,0,0,0,19,2,0,0,0,0,0,0,20.4,25.2
2015,9,0,5,5.1,0,0,3.6,0.2,0.3,1.5,13.7,34.5,2,30,0,2.7,0,13.6,2.8,30.7,0,33.8,4.1,2.1,4.5,6.8,1.7,23.8,12,1.8,15.1,NaN
2015,10,38.5,0.3,0.1,4.1,12.5,0.4,1,8.5,0.5,0,48.5,1.6,15.2,6.4,17.7,13.9,3.9,25,6.3,3.2,3.8,4.7,1.5,1.9,34.7,6.6,18.7,7.1,0,8.3,0.1
2015,11,0,26.7,3.9,25.2,12.8,5.1,0,14.7,0,32.5,6.3,0.5,6.3,3.1,23.1,49.9,0.4,4.7,0,7.9,9.7,3,0,0,0.5,0,0,0,0,0,NaN
2015,12,0,0,0,0,0,0.4,0,5.3,14.2,2.6,0,0,6.5,0.9,0,0,0.5,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
2016,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,4,11.2,0,12.6,0,0,0,0,0,0,0,0,0,8.5,0.1,0,0,25.3,0,0,0,24,0,3.7,1.3,0,2.6,3.2,7.6,1,3.6,NaN
2016,5,0,2.1,0,0,6.2,27.4,0,0,12.9,0.3,5.2,0,0,0,3.7,11.6,2.9,0,0,0,0,0,0.9,2.7,1,3,1,11.2,4,10.5,47.1
2016,6,6.2,25.5,0.4,2.4,2.1,2.4,0,10.9,1.7,29,41,0,0,6.1,0.9,29,0,35,0,6,38.2,7.4,1.2,0.2,0,0.6,4.9,0,0,0.4,NaN
2016,7,0.5,2.2,0,0,0,0,6.7,0.1,0,1.2,7.8,4.8,0,0,0,41.5,0,4.5,6.7,7.3,0,6,39.1,0.1,0,0.7,0,0,25.9,0,0
2016,8,0,1.9,13.2,18.9,0,4.8,0,6.2,3.1,0,0.1,7.8,5,1.5,0,0.1,0,0,0.2,0.2,0.3,2.1,1,0,0.2,0,2.7,42.1,28.5,46.4,21.1
2016,9,16.9,2,0,6.1,0,0,0,11,0.3,1.6,6.7,36.5,0.1,0.7,4.5,29.5,0,0,0,0,11.1,0.6,0,7.6,11.9,22.8,0,6.2,0,1.7,NaN
2016,10,8.9,0.8,0.5,7.3,5.3,19.6,16.9,9.9,48.7,1.4,1.8,14.6,7.1,0.7,0,14.4,24.5,43,21.9,0,0.5,24.8,0.3,0,0.7,21.3,0.1,0,0,11.2,13.3
2016,11,14.9,0.1,2.3,0,0,0,0,0,0,0,4.4,13.1,4.8,0,1.9,4.1,4.3,11,50.2,2.5,0,0,8.2,6.3,0.1,0.7,5,0,0,0,NaN
2016,12,0.4,0,0.2,21.6,1,0,0,6.5,21.1,0,18.6,1.7,0.1,0,0,0,0,0,0,0,1.4,0,0,0,2.2,1.4,0,0,0,0,0
2017,1,0.2,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN
2017,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,0,71.2,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,7.8,14,0,0,0,2.4,64.6,1.4,3.4,13,8.2,7.6,10.4,NaN
2017,5,31,0,24.6,4.2,0.8,48,10,16.2,12.4,19.2,13.8,2,40.2,0,13.6,5.4,11,15.4,65.2,13,15.2,1.6,2.4,0.4,1.8,0.8,6.4,13.2,10,52.6,51.8
2017,6,0.8,0,0,0,10.2,46.4,4.6,46.2,1.8,18,0.2,3.6,0.2,0.4,5.8,1.4,43,30.8,4.6,17.6,0.4,18,0,0,25,0.6,0.6,35,0,0,NaN
2017,7,2.8,0,6.8,5.4,3,5.6,14.2,0.2,0,0,25.6,2.8,5.8,0,0,1,39,0,1,0.4,9.2,27.2,0,0,2.8,0,0,1.8,13.6,64.8,52.2
2017,8,12.4,0.2,0,0.2,14.6,10.4,3,0.8,4.4,1.2,0,0,9,0.2,0,0,0,2.2,0.4,17.6,9.2,2,18.4,8.2,9.8,1.4,0.2,38.4,37,13.2,0.2
2017,9,0,31.8,11.2,1.6,2.6,8.6,0.2,45.2,21,2.2,5,0,0,22.4,1.8,37.2,16.2,0,23.4,32.8,3.8,36.4,1,37.6,1.2,3.2,11,1.8,25.4,39.8,NaN
2017,10,20.2,29.8,9.8,102.4,114,2.2,0,9,1.6,13.4,0,15.6,2,0.2,0,0,0,0,0,1.8,13.6,0.2,8.2,3.2,6.6,30.2,15.6,5.8,3.6,9.6,6.8
2017,11,1.2,0,0.2,49.4,0,6.4,7.2,0,0,0.8,0,0.4,5.2,9.4,0,7,0,0,0,7.8,8.4,8,1,0.2,0,0,0,1,2.8,0,NaN
2017,12,0,0,0,0.4,2,0,6,0.8,4,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0.6
2018,1,0,0,0.2,0,0,0,3.8,3.6,0,10.2,0,0.4,0,0.4,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.2,0,0,0,NaN,NaN,NaN
2018,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,4,0,0,0,0,0.2,2.4,14,0.2,0,0,0,0,0,0.2,2.8,0,0,0,0,0,0,9.2,0,0,0,0,10.4,1.8,7.2,0.2,NaN
2018,5,0,0,0,0,0,0,1.2,0.2,7.6,1.8,0.2,0,14,15.8,0.2,9.6,0.2,0,0,0,12.6,1.4,1.6,50.8,7.8,10.2,11,1.8,47.2,42.4,10.2
2018,6,2.4,24.6,3.4,16,0,0,1.8,3,0,11.2,0.2,2.2,53.2,9.6,18.6,0.2,2,0,5.6,14.4,0,5.6,5,0,0,2.6,0.4,6.6,1,2.2,NaN
2018,7,0,0.8,0,6.4,16.8,0.6,0,0,0,0.6,4.2,5.8,40.2,20.2,4.4,1.2,0,7.4,0,0.6,1.8,1.8,2.2,0,8.8,3.2,1.2,0.2,0,0,0.4
2018,8,19.2,48,1.6,15.8,0,0,0,0,2.8,0.2,5.6,0,0.2,14.2,4.6,10.2,0,0,1.4,0,0,6.2,0.2,39.4,16,8.2,0.2,0,0,0,0
2018,9,2,1.8,5,0,28.8,15.4,13,4.2,5.8,10.6,9.8,40.4,3.2,7,16.6,29.4,47,8,2.6,0.2,7.4,2.8,0,8.8,0,9.6,27,8.2,9.8,17.8,NaN
2018,10,54.6,1,2,41,19,0.2,0,2.8,0.6,0,28.2,12.6,6.6,20.2,14,3.6,11.4,0.4,1.2,1.6,0.2,0,0,17,0,14,0,0.2,0,0,0
2018,11,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN
2019,3,0,0,1,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,4,0,0,0,0,0,16.2,0,0,0,0,0,0,0,16.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,NaN
2019,5,0,0,0,0,4,0,0,3.2,6.2,2.6,0.8,4,48,4.4,18,25.4,21.4,23.8,9.4,1.6,20.6,7.6,5.2,4.8,4.4,0.6,9.8,11.6,10.4,35,25.8
2019,6,16.6,0,1.2,0.8,1.2,0.2,8.2,46.4,8.4,22.6,0,2.6,23.6,0.2,0,0,0,0,2.4,0,5.4,0,0,3,25.2,0,0,0,0,0.4,NaN
2019,7,0.4,1.2,3.6,0,1.2,0,1.8,41.2,1.8,0.2,16.8,0.4,0,15.4,50.6,0,0,0.4,0,0,0.6,0.2,1.6,0,0.2,0.2,0,0.8,0,0,0
2019,8,0,9,0,0,7.4,15.6,15.6,2.2,0,0,0,0,0,13.4,0,1,18.6,57.8,9,7.6,6,0,0,14.4,0,8.8,0,0.4,1,4,0.8
2019,9,7.4,0,15.4,6.6,0.2,33.6,0,5.6,0,0,0,12.6,0,0,19,0.4,55,11.6,12,16.8,10.6,0.6,4.8,0.2,5,30.8,33,12,0.2,0,NaN
2019,10,19.6,2.6,3.4,12.8,18.2,0,8.6,0,6.2,1.8,4.2,0.8,1.2,33,1,0,1,12,16.6,17.8,0,0.2,0.8,8.6,49.6,7.2,14.2,2.6,0,7.4,6
2019,11,0.2,0.8,0,0,0,2.2,0,0,0,1.4,6.2,0,8.8,7.8,19.8,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,1.6,0,0,0,0,1.8,0,0,0,0,0.6,0,0,0
2020,1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1,0.2,0,0
2020,2,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,NaN,NaN
2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6
2020,4,8.2,0,0,0,0,0,0,0,0,0,0,24.4,36,0,0,0,0,0,8.6,0,1.8,0,0,42.6,0,0,0,0.2,17.8,4.8,NaN
2020,5,0,0,0,0,0,0,10,0.8,12,0.2,0,0,0,0.6,0.4,3.2,24,7.6,0.2,5,22.4,46,0,5.4,6.8,26.4,18.8,10.4,12.6,0.6,17.4
2020,6,43,45.2,12.6,15,7.6,6.2,26.6,0.2,24.4,11,0.6,3.4,5.6,0,11,30.4,3.4,0,0.8,1.8,11,0,16.2,0.4,0,1.6,24.4,15.2,70.4,7.4,NaN
2020,7,7.6,16,25.2,13.2,0.2,0.4,0,0,0,12.6,2.2,0,0.4,0.2,1.6,0,0,2,0,1.6,0.2,6.8,19.8,9,21.6,0,38,1.8,0,0,0
2020,8,0,6,9.2,0,27.4,0,0,0.4,0,20.2,0,0,0,20.8,2.6,0.4,43.6,0.2,41.4,1.6,54.8,0,5.8,6.8,33.2,1.8,1.4,2.8,0.2,0,0
2020,9,8,16.6,8.2,29.2,0.8,5.2,33.4,2.2,1.2,0,36.2,8.2,0.2,17.2,4,0.2,13.8,2,14.4,22.2,14.2,27.6,51.2,31.2,7.4,1,41.2,14.2,5,1.6,NaN
2020,10,0,12,18.4,0,27.2,1,48,5.6,0.4,0,0.2,0,2.8,54,0.4,8.6,1.6,24.2,9.4,10,9,0.2,1,0,9,0,0,0,2.8,7.4,42.2
2020,11,45.2,4.4,41.6,86.4,40,5.2,1.2,0,1.8,4.6,7,0.2,0.6,9.8,19.2,4,9,0,5,1.4,14.6,2.6,0,0.2,0,0,0.8,8.2,0.8,0,NaN
2020,12,0,46.6,13.4,0.4,0,0,0,0,0,6.2,0,0,0,0,0,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,25.4,0.2
